📽电影频道,#genre#
DW English (MY),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/758.ts
France 24 (MY),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/759.ts
SkyNews (MY),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/753.ts
ABC Australia (MY),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/757.ts
CNN (JP),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/874.ts
日テレNEWS24 (JP),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/871.ts
BBCワールドニュース (JP),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/873.ts
⛹️‍体育,#genre#
Fight Sports CH642 (HK),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/108.ts
Now 668 (粵) CH668 (HK),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/112.ts
Now 668 (國) CH668 (HK),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/113.ts
TVB 88 跑馬台 (HK),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/136.ts
HKC 有線18台 (HK),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/122.ts
HKC 有線18台(低延時) (HK),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/123.ts
TVB myTV SUPER 18台 CH018 (HK),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/51.ts
ELTA 爱尔达体育1台 (TW) 540P(TW),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/257.ts
ELTA 爱尔达体育2台 (TW) 540P(TW),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/258.ts
ELTA 爱尔达体育3台 (TW) 540P(TW),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/259.ts
ELTA 爱尔达体育4台 (TW) 540P(TW),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/260.ts
ELTA 爱尔达体育 MAX1台 (TW),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/261.ts
ELTA 爱尔达体育 MAX2台 (TW),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/262.ts
ELTA 爱尔达体育 MAX3台 (TW),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/263.ts
ELTA 爱尔达体育 MAX4台 (TW),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/264.ts
博斯无限1台 (TW),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/270.ts
博斯无限2台 (TW),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/271.ts
博斯网球台 (TW),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/272.ts
博斯运动1台 (TW),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/265.ts
博斯运动2台 (TW),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/266.ts
博斯高球1台 (TW),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/268.ts
博斯高球2台 (TW),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/269.ts
博斯魅力台 (TW),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/267.ts
DAZN 1 (TW),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/273.ts
DAZN 2 (TW),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/274.ts
MOMOTV Sports (TW),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/336.ts
TRACE Sport Stars (TW),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/335.ts
智林体育台 (TW),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/337.ts
CCTV5,http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/537.ts
CCTV5,http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/538.ts
五星体育 (CN),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/526.ts
广东体育频道 (CN),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/527.ts
纬来体育台 (TW),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/226.ts
ELTA 爱尔达体育1台 (TW),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/253.ts
ELTA 爱尔达体育2台 (TW),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/254.ts
ELTA 爱尔达体育3台 (TW),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/255.ts
ELTA 爱尔达体育4台 (TW),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/256.ts
纬来体育台 H265 (TW),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/424.ts
CCTV5,http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/479.ts
CCTV5,http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/492.ts
Hub Sports 1 (SG),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/633.ts
Hub Sports 2 (SG),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/634.ts
Hub Sports 3 (SG),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/635.ts
Hub Sports 4 (SG),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/636.ts
Hub Sports 5 (SG),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/637.ts
Hub Premier 1 (SG),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/638.ts
Hub Premier 2 (SG),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/639.ts
Hub Premier 3 (SG),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/640.ts
Hub Premier 4 (SG),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/641.ts
Hub Premier 5 (SG),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/642.ts
Hub Premier 6 (SG),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/643.ts
Hub Premier 7 (SG),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/644.ts
EUROSPORT (SG),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/646.ts
Fight Sports (SG),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/645.ts
Astro Grandstand (MY),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/687.ts
Astro Badminton (MY),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/688.ts
Astro Sports Plus (MY),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/686.ts
Astro Cricket (MY),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/703.ts
Astro Football (MY),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/689.ts
Astro Arena 1 (MY),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/690.ts
Astro Arena 2 (MY),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/691.ts
Astro Arena Bola 1 (MY),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/692.ts
Astro Arena Bola 2 (MY),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/693.ts
beIN Sports 1 (MY),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/697.ts
beIN Sports 2 (MY),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/698.ts
bEIN Sports 3 (MY),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/699.ts
Premier Sports (MY),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/702.ts
Premier League 1 (MY),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/694.ts
Premier League 2 (MY),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/695.ts
WWE Network (MY),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/700.ts
SPOTV (MY),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/704.ts
SPOTV 2(MY),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/705.ts
W Sport (MY),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/696.ts
Golf Channel (MY),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/701.ts
JSPORTS 1 BS242 (JP),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/801.ts
JSPORTS 2 BS243 (JP),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/802.ts
JSPORTS 3 BS244 (JP),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/803.ts
JSPORTS 4 BS245 (JP),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/804.ts
ゴルフネットワークGolf Network (JP),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/839.ts
GAORA SPORTS (JP),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/837.ts
BS釣りビジョン Tsuri Vision (JP),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/816.ts
KBSN Sports (KR),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/937.ts
MBC Sports (KR),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/935.ts
SBS Sports (KR),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/932.ts
SBS Golf (KR),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/931.ts
JTBC Golf (KR),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/933.ts
JTBC Golf & Sports (KR),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/934.ts
SPOTV (KR),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/939.ts
SPOTV 2 (KR),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/936.ts
SPOTV Golf & HEALTH (KR),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/930.ts
SPOTV Prime (KR),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/940.ts
SPOTV Prime2 (KR),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/941.ts
SKY Sports (KR),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/938.ts
Now Sports 1 CH631 (HK),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/97.ts
Now Sports 2 CH632 (HK),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/98.ts
Now Sports 3 CH633 (HK),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/99.ts
Now Sports 4 CH634 (HK),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/100.ts
Now Sports 5 CH635 (HK),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/101.ts
Now Sports 6 CH636 (HK),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/102.ts
Now Sports 7 CH637 (HK),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/103.ts
Now 英超Premier League 1台 CH621 (HK),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/89.ts
Now 英超Premier League 1台 (EN) CH621 (HK),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/90.ts
Now 英超Premier League 2台 CH622 (HK),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/91.ts
Now 英超Premier League 3台CH623 (HK),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/92.ts
Now 英超Premier League 4台 CH624 (HK),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/93.ts
Now 英超Premier League 5台 CH625 (HK),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/94.ts
Now 英超Premier League 6台 CH626 (HK),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/95.ts
Now Sports CH630 (HK),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/96.ts
曼聯電視 MUTV CH640 (HK),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/107.ts
HK NBA TV,http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/65070.ts
Now Sports NBA CH641,http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/65073.ts
beIN SPORTS 1 CH638 (HK),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/104.ts
beIN SPORTS 2 CH639 (HK),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/105.ts
beIN SPORTS 3 CH643 (HK),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/106.ts
Now Sports 651 英足總 CH651 (HK),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/110.ts
Now Sports 652 英足總 CH652 (HK),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/111.ts
myTV SUPER直播足球2台 CH901 (HK),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/137.ts
myTV SUPER直播足球3台 CH902 (HK),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/138.ts
myTV SUPER直播足球4台 CH903 (HK),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/139.ts
myTV SUPER直播足球5台 CH904 (HK),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/140.ts
myTV SUPER直播足球6台 CH905 (HK),http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/141.ts
US ESPN,http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/1218.ts
US ESPN 2,http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/1237.ts
US ESPN News,http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/1279.ts
US ESPN U,http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/1196.ts
US Fox Sports 1,http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/1227.ts
US Fox Sports 2,http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/1226.ts
US NBC Sports,http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/1190.ts
US Tennis,http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/1266.ts
US MLB Network,http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/1406.ts
US MLB Strike Zone,http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/1484.ts
US Fox Soccer Plus,http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/1187.ts
US Bein Sports,http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/1259.ts
US Bein Sports ES,http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/1234.ts
US NBA TV,http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/1219.ts
US NHL Network,http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/1232.ts
US Outdoor,http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/1239.ts
US NFL Red Zone,http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/1299.ts
US Sec Network,http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/1240.ts
US Sports Man,http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/1233.ts
US CBS Sports,http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/1168.ts
US BTN,http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/1202.ts
US NBC SP BAY,http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/1253.ts
US Fishing Network,http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/1255.ts
US Willow,http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/1270.ts
US NESN,http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/1171.ts
US UFC Pass,http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/1170.ts
US Boxing ppv,http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/1252.ts
US WWE Network,http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/1169.ts
US NFL Sunday Ticket 1,http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/1692.ts
US NFL Sunday Ticket 2,http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/1693.ts
US NFL Sunday Ticket 3,http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/1694.ts
US NFL Sunday Ticket 4,http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/1695.ts
US NFL Sunday Ticket 5,http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/1696.ts
US NFL Sunday Ticket 6,http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/1697.ts
US NFL Sunday Ticket 7,http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/1698.ts
US NFL Sunday Ticket 8,http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/1699.ts
US NFL Sunday Ticket 9,http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/1700.ts
US NFL Sunday Ticket 10,http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/1701.ts
US NFL Sunday Ticket 11,http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/1702.ts
US NFL Sunday Ticket 12,http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/1703.ts
US TNT,http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/1220.ts
NBA League Pass 1,http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/65077.ts
NBA League Pass 2,http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/65078.ts
NBA League Pass 3,http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/65079.ts
NBA League Pass 4,http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/65080.ts
NBA League Pass 5,http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/65081.ts
NBA League Pass 6,http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/65082.ts
NBA League Pass 7,http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/65083.ts
NBA League Pass 8,http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/65084.ts
NBA League Pass 9,http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/65085.ts
NBA League Pass 10,http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/65086.ts
NHL Centre Ice 1,http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/65092.ts
NHL Centre Ice 2,http://iptvpro.pw:35451/live/加QQ群995225115福利/123456789/65093.ts
